t,x_1,x_2,x_3,x_4,x_5,x_6,fb,fa,Tr,dx_dt_1,dx_dt_2,dx_dt_3,dx_dt_4,dx_dt_5,dx_dt_6
0.0,0.09576092651018556,0.38800254944550255,0.015975230722923693,0.28492243697452413,0.10931645678940315,0.10602239955746103,6.091109369944852,2.4,365.9045240211792,0.027588962046883322,0.00342276462792158,0.02654755790191375,0.007549303482446122,0.016495467309514854,0.02148502519466728
30.0,0.9234297879166853,0.49068548828314995,0.8124019677803362,0.5114015414479077,0.6041804760748488,0.7505731553974795,6.091109369944852,2.4,328.7161138686821,-0.003755585676207586,-0.003066529398329058,-0.009967510250751235,0.003557892896000534,0.002677242809266753,-0.0019224523371766551
60.0,0.8107622176304576,0.3986896063332782,0.5133766602577992,0.6181383283279238,0.6844977603528514,0.6928995852821798,6.091109369944852,2.4,329.75287395952694,-0.0030205479556146514,-0.0011671463358479905,-0.005629042238623806,0.0006317940950362934,0.0005568111750574484,-0.0023387178750301353
90.0,0.7201457789620181,0.3636752162578385,0.34450539309908496,0.6370921511790125,0.7012020956045748,0.6227380490312758,6.091109369944852,2.4,331.2467329808213,-0.0025549125164779415,-0.0004351389359170352,-0.0035074349907907028,-0.0004260532305525066,-0.0004991587626463731,-0.002216825443982074
120.0,0.64349840346768,0.35062104818032747,0.2392823433753639,0.6243105542624374,0.6862273327251837,0.5562332857118136,6.091109369944852,2.4,332.98354413772716,-0.002211602126824833,-9.486685752156552e-05,-0.0022387016619714764,-0.0008815263877600151,-0.0010467890761332907,-0.001999359599265706
150.0,0.5771503396629349,0.34777504245468044,0.17212129351621958,0.597864762629637,0.6548236604411849,0.49625249773384233,6.091109369944852,2.4,334.8813621430939,-0.001941286258767482,6.480081551614014e-05,-0.001424096937034755,-0.0010659180917975716,-0.0013068824538469736,-0.001773988469955192
180.0,0.5189117518999105,0.3497190669201647,0.12939838540517692,0.5658872198757097,0.6156171868257757,0.44303284363518664,6.091109369944852,2.4,336.8483344831886,-0.0017180599819258202,0.000129882790133789,-0.000894018312618953,-0.001106216873816412,-0.00139614022379427,-0.0015614583381070703
210.0,0.4673699524421358,0.3536155506241783,0.10257783602660833,0.5327007136612173,0.5737329801119476,0.3961890934919745,6.091109369944852,2.4,338.7452042492217,-0.0015234644706296674,0.00014750227011337157,-0.0005589931808954967,-0.0010656941822783554,-0.0013873240106757995,-0.0013657691827036072
240.0,0.4216660183232458,0.3580406187275795,0.08580804059974344,0.5007298881928667,0.5321132597916737,0.35521601801086633,6.091109369944852,2.4,340.43648736265857,-0.0013447814705279412,0.00014719175119570676,-0.0003609520134269422,-0.0009832019440933213,-0.001328150968524337,-0.0011874686889226484
270.0,0.38132257420740756,0.3624563712634507,0.07497948019693516,0.471233829870067,0.4922687307359435,0.31959195734318685,6.091109369944852,2.4,341.8745062814385,-0.0011773792276174651,0.000144122059353738,-0.00025278775319857375,-0.0008844095503141428,-0.00124774038345055,-0.0010270723343237965
300.0,0.3460011973788836,0.3667800330440628,0.06739584760097794,0.44470154336064277,0.454836519232427,0.2887797873134729,6.091109369944852,2.4,343.10688809499453,-0.0010230454755328453,0.00014217116798435713,-0.00019561324595264464,-0.0007846839803375262,-0.0011611261910162802,-0.0008849557351604797
330.0,0.31530983311289823,0.37104516808359356,0.06152745022239861,0.42116102395051697,0.4200027335019386,0.26223111525865855,6.091109369944852,2.4,344.2106085132739,-0.0008847657628571516,0.00014026057850507242,-0.00016311445937369158,-0.0006913864722647478,-0.0010746991258698915,-0.0007606506584303022
360.0,0.2887668602271837,0.3752529854387457,0.05663401644118786,0.40041942978257455,0.3877617597258418,0.2394115955057495,6.091109369944852,2.4,345.2419452795257,-0.0007636567494299738,0.0001369445761850881,-0.00014134808798059502,-0.0006069767418621967,-0.000990836082668059,-0.000652820370034327
390.0,0.2658571577442845,0.3793613227242983,0.05239357380177001,0.3822101275267087,0.3580366772458001,0.21982698440471968,6.091109369944852,2.4,346.2290656005443,-0.0006589799953951507,0.00013167183706103117,-0.00012428759823951549,-0.0005316157344801269,-0.0009104439254389246,-0.0005596835048632494
420.0,0.24608775788242995,0.38331147783612923,0.04866494585458454,0.3662616554923048,0.3307233594826324,0.2030364792588222,6.091109369944852,2.4,347.1820855504975,-0.0005690795407162683,0.00012456251776667677,-0.00010969855266772925,-0.0004646406349815722,-0.0008339528129017829,-0.00047939447271013624
450.0,0.22901537166094188,0.38704835336912957,0.04537398927455267,0.3523224364428577,0.30570477509557886,0.1886546450775181,6.091109369944852,2.4,348.10264426730964,-0.0004920689549790677,0.00011601963678795544,-9.683008474588809e-05,-0.0004052018734744062,-0.0007616142788222265,-0.00041023975606777985
480.0,0.21425330301156986,0.39052894247276826,0.04246908673217602,0.3401663802386255,0.2828563467309121,0.17634745239548474,6.091109369944852,2.4,348.9893282933386,-0.0004261527664589213,0.00010649953860064614,-8.541779983589944e-05,-0.00035248219672944354,-0.0006935738555391953,-0.00035070315798507316
510.0,0.2014687200178022,0.39372392863078765,0.03990655273709904,0.3295919143367422,0.2620491310647362,0.16582635765593254,6.091109369944852,2.4,349.8401101310919,-0.0003697333115670962,9.641700230614216e-05,-7.532585768765452e-05,-0.00030575159878363785,-0.0006298906250104484,-0.0002994691006405137
540.0,0.19037672067078934,0.39661643869997193,0.0376467770064694,0.32041936637323304,0.24315241231442278,0.15684228463671712,6.091109369944852,2.4,350.6532626541134,-0.00032142456979705123,8.611906196494707e-05,-6.644100315152302e-05,-0.00026436989224001253,-0.0005705502736089384,-0.0002554040458372721
570.0,0.18073398357687778,0.39920001055892035,0.03565354691192371,0.31248826960603265,0.22603590410615462,0.14918016326159897,6.091109369944852,2.4,351.4276237926904,-0.00028003456425027803,7.588557935554513e-05,-5.8649613147395446e-05,-0.0002277766161913699,-0.0005154790889638503,-0.00021753314741157346
600.0,0.17233294664936946,0.4014765779395867,0.03389405851750185,0.3056549711202916,0.2105715314372391,0.14265416883925175,6.091109369944852,2.4,352.1626124773512,-0.00024454088701812525,6.593750948838593e-05,-5.18369010171397e-05,-0.00019547967930709213,-0.000464557938803794,-0.00018501792758902905
